day,H,M,duration,task
Montag,8,57,16,verb
Montag,11,20,18,spread
Montag,22,15,25,flight
Montag,5,24,35,pattern
Montag,20,45,44,leather
Montag,12,51,28,sky
Montag,6,8,35,spend
Montag,3,46,33,depth
Montag,16,5,55,our
Montag,15,21,45,badly
Montag,9,25,55,see
Dienstag,14,50,41,consist
Dienstag,23,52,22,camp
Dienstag,18,4,16,trace
Dienstag,12,42,42,action
Dienstag,6,18,35,mistake
Dienstag,11,52,34,twenty
Dienstag,10,7,45,truck
Dienstag,4,38,45,globe
Dienstag,21,30,55,situation
Dienstag,13,29,21,break
Dienstag,20,11,38,friendly
Mittwoch,13,6,45,theory
Mittwoch,18,2,42,slip
Mittwoch,4,47,36,lovely
Mittwoch,15,16,52,carefully
Mittwoch,22,26,35,football
Mittwoch,10,59,19,under
Mittwoch,9,6,18,dot
Mittwoch,10,58,37,fix
Mittwoch,18,14,24,continued
Mittwoch,21,42,36,force
Mittwoch,15,46,55,opportunity
Donnerstag,2,23,16,triangle
Donnerstag,23,10,40,examine
Donnerstag,16,23,42,pale
Donnerstag,8,18,22,atom
Donnerstag,3,30,47,sent
Donnerstag,17,11,20,skill
Donnerstag,3,16,37,office
Donnerstag,5,31,27,complex
Donnerstag,16,34,35,take
Donnerstag,5,23,23,silence
Donnerstag,8,48,29,shoe
Freitag,8,41,54,hidden
Freitag,12,6,42,mixture
Freitag,22,11,22,may
Freitag,15,19,22,entirely
Freitag,20,3,43,wool
Freitag,9,3,44,relationship
Freitag,1,57,43,solid
Freitag,2,33,42,mouse
Freitag,6,24,49,information
Freitag,18,25,22,should
Freitag,17,26,52,worth
Samstag,14,10,16,they
Samstag,19,27,53,mill
Samstag,9,24,30,are
Samstag,13,10,39,gate
Samstag,18,35,17,term
Samstag,22,52,48,myself
Samstag,7,37,26,although
Samstag,1,7,45,dark
Samstag,23,39,21,joined
Samstag,3,22,17,club
Samstag,8,37,36,soft
Sontag,14,45,34,were
Sontag,12,21,52,positive
Sontag,4,30,48,clear
Sontag,5,22,49,scale
Sontag,1,25,18,income
Sontag,16,25,37,create
Sontag,22,8,44,agree
Sontag,15,13,44,flow
Sontag,1,43,28,fire
Sontag,18,7,47,health
Sontag,8,17,38,importance
